,A,B,C,D,E,F,H,K,L
ConcatenatedReads_11AA_3_MG5,0.0,0.0,0.8038225173950195,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11AA_4_MG7,0.0,0.0,0.6414968371391296,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_1_MG6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_3_MG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_4_MG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016903782961890101
ConcatenatedReads_12AA_3_MG4,0.0914841741323471,0.0,0.0,0.23587913811206818,0.0,0.0,0.31004199385643005,0.24634607136249542,0.0
ConcatenatedReads_12AA_3_MG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12AA_4_MG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12PA_4_MG7,0.1545371264219284,0.0,0.0,0.04450104758143425,0.0,0.0,0.5959500074386597,0.11799878627061844,0.0
ConcatenatedReads_13AA_1_MG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007266239728778601
ConcatenatedReads_13AA_1_MG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_3_MG5,0.35121914744377136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_4_MG6,0.0,0.0,0.0,0.0,0.595883309841156,0.0,0.0,0.0,0.0
ConcatenatedReads_13PA_4_MG7,0.6510003805160522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3319804072380066
ConcatenatedReads_13PB_1_MG1,0.11275508254766464,0.0,0.0,0.3942212760448456,0.0,0.3817650079727173,0.0,0.0,0.0003209827118553221
ConcatenatedReads_13PB_1_MG7,0.09676647186279297,0.0,0.0,0.5474354028701782,0.0,0.2530512809753418,0.0,0.0,0.0
ConcatenatedReads_14AA_2_MG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14AA_3_MG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA_2_MG4,0.14666666090488434,0.0,0.30648618936538696,0.361059308052063,0.0,0.0,0.06041160598397255,0.03775649145245552,0.0
ConcatenatedReads_14PA_2_MG7,0.07228915393352509,0.0,0.0,0.3282161355018616,0.0,0.019379934296011925,0.23783546686172485,0.19450150430202484,0.0
ConcatenatedReads_14PA_3_MG5,0.09066390991210938,0.0,0.006277653854340315,0.40845370292663574,0.0,0.06307783722877502,0.18778736889362335,0.11216520518064499,0.006404626648873091
ConcatenatedReads_15AA_1_MG6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AA_5_MG5,0.5514203906059265,0.0,0.49280956387519836,0.0,0.0,0.0,0.0,0.0,0.0
